paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
1009,leende,NN.NEU.SIN.IND.NOM,|leende|,|leende..nn.1|,|leende..1:-1.000|,|,|,1.0,2,3,SS,-1,egna meningar,1
1009,erinrade,VB.PRT.AKT,|erinra|erinra sig|,|erinra..vb.1|erinra_sig..vbm.1|,|erinra..1:-1.000|erinra_sig..1:-1.000|,|,|,,3,0,ROOT,-1,egna meningar,1
1009,mig,PN.UTR.SIN.DEF.OBJ,|jag|erinra sig:03|,|jag..pn.1|erinra_sig..vbm.1:03|,|jag..1:-1.000|erinra_sig..1:03:-1.000|,|,|,,4,3,OO,-1,egna meningar,1
1009,om,PP,|om|,|om..pp.1|,|om..1:-1.000|om..5:-1.000|,|,|,,5,3,OA,-1,egna meningar,1
1009,den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,6,7,DT,-1,egna meningar,1
1009,lycka,NN.UTR.SIN.IND.NOM,|lycka|,|lycka..nn.1|lycka..nn.2|,|lycka..1:0.988|lycka..3:0.009|lycka..2:0.002|,|,|,1.0,7,5,PA,-1,egna meningar,1
1009,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,8,10,SS,-1,egna meningar,1
1009,aldrig,AB,|aldrig|,|aldrig..ab.1|,|aldrig..1:0.963|aldrig..2:0.021|aldrig..3:0.016|,|,|,,9,10,TA,-1,egna meningar,1
1009,skulle,VB.PRT.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|skulle..nn.1+le..vb.1:5.815e-12|,|skull+le|,-0.0,10,7,ET,-1,egna meningar,1
1009,få,VB.INF.AKT,|få|,|få..vb.1|,|få..1:0.866|få..3:0.134|,|,|,1.0,11,3,VG,-1,egna meningar,1
1009,uppleva,VB.INF.AKT,|uppleva|,|uppleva..vb.1|,|uppleva..1:-1.000|,|upp..ab.1+leva..vb.1:1.408e-08|,|upp+leva|,0.0,12,11,VG,-1,egna meningar,1
1009,.,MAD,|,|,|,|,|,,13,3,IP,-1,egna meningar,1
1010,Kritikerna,NN.UTR.PLU.DEF.NOM,|kritik|kritiker|,|kritik..nn.1|kritiker..nn.1|,|kritiker..1:0.666|kritik..1:0.246|kritik..2:0.088|,|,|,-1.0,1,2,SS,-1,egna meningar,-1
1010,ratade,VB.PRT.AKT,|rata|,|rata..vb.1|,|rata..1:-1.000|,|,|,,2,0,ROOT,-1,egna meningar,-1
1010,verkligen,AB,|verkligen|,|verkligen..ab.1|,|verkligen..1:-1.000|,|,|,,3,2,MA,-1,egna meningar,-1
1010,restaurangen,NN.UTR.SIN.DEF.NOM,|restaurang|,|restaurang..nn.1|,|restaurang..1:-1.000|,|resa..vb.2+tau..nn.1+rang..nn.1:5.659e-22|resa..vb.1+tau..nn.1+rang..nn.1:5.659e-22|resa..vb.2+tau..nn.1+rana..nn.1+gen..nn.1:5.993e-28|resa..vb.1+tau..nn.1+rana..nn.1+gen..nn.1:5.993e-28|,|res+tau+rangen|res+tau+ran+gen|,0.0,4,2,OO,-1,egna meningar,-1
1010,som,HP.-.-.-,|,|,|,|,|,,5,6,SS,-1,egna meningar,-1
1010,troddes,VB.PRT.SFO,|tro|,|tro..vb.1|,|tro..1:0.893|tro..3:0.107|,|,|,0.0,6,4,ET,-1,egna meningar,-1
1010,vara,VB.INF.AKT,|vara|,|vara..vb.1|vara..vb.2|,|vara..1:0.624|vara..2:0.265|vara..3:0.111|,|,|,0.0,7,6,VS,-1,egna meningar,-1
1010,bra,AB.POS,|bra|,|bra..ab.1|bra..ab.2|bra..av.1|,|bra..1:0.464|bra..3:0.329|bra..2:0.116|bra..5:0.092|,|,|,,8,7,AA,-1,egna meningar,-1
1010,.,MAD,|,|,|,|,|,,9,2,IP,-1,egna meningar,-1
1011,Hans,PS.UTR+NEU.SIN+PLU.DEF,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,1,2,DT,-1,egna meningar,-1
1011,uttalande,NN.NEU.SIN.IND.NOM,|uttalande|,|uttalande..nn.1|,|uttalande..1:0.591|uttalande..2:0.409|,|ut..ab.1+talande..nn.1:1.527e-11|uttala..vb.1+ande..nn.1:5.548e-21|,|ut+talande|uttal+ande|,0.0,2,3,SS,-1,egna meningar,-1
1011,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,3,0,ROOT,-1,egna meningar,-1
1011,verkligen,AB,|verkligen|,|verkligen..ab.1|,|verkligen..1:-1.000|,|,|,,4,5,AA,-1,egna meningar,-1
1011,förkastligt,JJ.POS.NEU.SIN.IND.NOM,|förkastlig|,|förkastlig..av.1|,|förkastlig..1:-1.000|,|,|,-1.0,5,3,SP,-1,egna meningar,-1
1011,.,MAD,|,|,|,|,|,,6,3,IP,-1,egna meningar,-1
1012,Usch,IN,|usch|,|usch..in.1|,|usch..1:-1.000|,|,|,-1.0,1,0,ROOT,-1,egna meningar,0
1012,detta,PN.NEU.SIN.DEF.SUB+OBJ,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,2,3,SS,-1,egna meningar,0
1012,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,-0.0,3,1,MS,-1,egna meningar,0
1012,verkligen,AB,|verkligen|,|verkligen..ab.1|,|verkligen..1:-1.000|,|,|,,4,3,MA,-1,egna meningar,0
1012,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,5,3,,-1,egna meningar,0
1012,alls,AB,|alls|,|alls..ab.1|,|alls..1:-1.000|,|,|,,6,3,AA,-1,egna meningar,0
1012,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,7,9,DT,-1,egna meningar,0
1012,bra,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|bra|,|bra..av.2|,|bra..4:-1.000|,|,|,1.0,8,9,AT,-1,egna meningar,0
1012,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.786|dag..2:0.214|,|,|,-0.0,9,3,SP,-1,egna meningar,0
1012,.,MAD,|,|,|,|,|,,10,1,IP,-1,egna meningar,0
1013,Fy,IN,|fy|,|fy..in.1|,|fy..1:-1.000|,|,|,-1.0,1,0,ROOT,-1,egna meningar,-1
1013,vad,HA,|vad|,|vad..ab.1|,|vad..6:-1.000|,|,|,,2,1,AA,-1,egna meningar,-1
1013,han,PN.UTR.SIN.DEF.SUB,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,3,4,SS,-1,egna meningar,-1
1013,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,4,2,UA,-1,egna meningar,-1
1013,konstig,JJ.POS.UTR.SIN.IND.NOM,|konstig|,|konstig..av.1|,|konstig..1:-1.000|,|,|,-1.0,5,4,SP,-1,egna meningar,-1
1013,.,MAD,|,|,|,|,|,,6,1,IP,-1,egna meningar,-1
1014,Han,PN.UTR.SIN.DEF.SUB,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,1,3,SS,-1,egna meningar,-1
1014,stod,VB.PRT.AKT,|stå|,|stå..vb.1|,|stå..1:0.596|stå..6:0.192|stå..2:0.078|stå..9:0.049|stå..3:0.035|stå..4:0.016|stå..8:0.016|stå..5:0.015|stå..7:0.004|,|,|,0.0,2,3,CJ,-1,egna meningar,-1
1014,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,3,0,ROOT,-1,egna meningar,-1
1014,ljög,VB.PRT.AKT,|ljuga|,|ljuga..vb.1|,|ljuga..1:-1.000|,|,|,-1.0,4,3,CJ,-1,egna meningar,-1
1014,sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,5,6,DT,-1,egna meningar,-1
1014,blå,JJ.POS.UTR.SIN.IND.NOM,|blå|,|blå..av.1|,|blå..1:0.829|blå..2:0.171|,|,|,0.0,6,3,+F,-1,egna meningar,-1
1014,framför,PP,|framför|,|framför..pp.1|,|framför..1:-1.000|,|,|,,7,6,ET,-1,egna meningar,-1
1014,kameran,NN.UTR.SIN.DEF.NOM,|kamera|,|kamera..nn.1|,|kamera..1:-1.000|,|kam..nn.1+era..nn.1:3.626e-11|,|kam+eran|,0.0,8,7,PA,-1,egna meningar,-1
1014,.,MAD,|,|,|,|,|,,9,3,IP,-1,egna meningar,-1
1015,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar,0
1015,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..2:0.561|bli..1:0.439|,|,|,0.0,2,6,MS,-1,egna meningar,0
1015,jättesjuk,PM.NOM,|,|,|,|,|,,3,5,DT,-1,egna meningar,0
1015,förra,JJ.POS.UTR+NEU.SIN.DEF.NOM,|förra|,|förra..av.1|,|förra..1:-1.000|,|,|,0.0,4,5,DT,-1,egna meningar,0
1015,veckan,NN.UTR.SIN.DEF.NOM,|vecka|,|vecka..nn.1|,|vecka..1:-1.000|,|,|,0.0,5,2,TA,-1,egna meningar,0
1015,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,6,0,ROOT,-1,egna meningar,0
1015,låg,VB.PRT.AKT,|ligga|,|ligga..vb.1|,|ligga..1:0.698|ligga..2:0.111|ligga..4:0.101|ligga..3:0.090|,|,|,0.0,7,6,+F,-1,egna meningar,0
1015,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,8,7,PL,-1,egna meningar,0
1015,sängen,NN.UTR.SIN.DEF.NOM,|säng|,|säng..nn.1|,|säng..1:-1.000|,|,|,0.0,9,8,HD,-1,egna meningar,0
1015,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela tiden|,|hel..av.1|hela_tiden..abm.1|,|hel..1:0.867|hel..2:0.133|hela_tiden..1:-1.000|,|,|,0.0,10,11,DT,-1,egna meningar,0
1015,tiden,NN.UTR.SIN.DEF.NOM,|tid|hela tiden:10|,|tid..nn.1|hela_tiden..abm.1:10|,|tid..1:-1.000|hela_tiden..1:10:-1.000|,|,|,0.0,11,7,TA,-1,egna meningar,0
1015,.,MAD,|,|,|,|,|,,12,6,IP,-1,egna meningar,0
1016,Resan,NN.UTR.SIN.DEF.NOM,|resa|,|resa..nn.1|,|resa..2:0.968|resa..4:0.032|,|,|,-0.0,1,2,SS,-1,egna meningar,0
1016,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.737|bli..2:0.263|,|,|,-0.0,2,10,MS,-1,egna meningar,0
1016,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,3,2,,-1,egna meningar,0
1016,alls,AB,|alls|,|alls..ab.1|,|alls..1:-1.000|,|,|,,4,5,AA,-1,egna meningar,0
1016,bra,AB.POS,|bra|,|bra..ab.1|bra..ab.2|bra..av.1|,|bra..1:0.639|bra..3:0.154|bra..5:0.112|bra..2:0.095|,|,|,,5,2,AA,-1,egna meningar,0
1016,;,MID,|,|,|,|,|,,6,2,IS,-1,egna meningar,0
1016,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,7,10,SS,-1,egna meningar,0
1016,bara,AB,|bara|,|bara..ab.1|,|bara..1:-1.000|,|,|,,8,9,CA,-1,egna meningar,0
1016,regnade,VB.PRT.AKT,|regna|,|regna..vb.1|,|regna..1:0.991|regna..2:0.009|,|,|,,9,10,MS,-1,egna meningar,0
1016,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,10,0,ROOT,-1,egna meningar,0
1016,haglade,VB.PRT.AKT,|hagla|,|hagla..vb.1|,|hagla..1:-1.000|,|hage..nn.1+lägga..vb.1:1.597e-13|,|hag+lade|,,11,10,+F,-1,egna meningar,0
1016,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela tiden|,|hel..av.1|hela_tiden..abm.1|,|hel..1:0.900|hel..2:0.100|hela_tiden..1:-1.000|,|,|,0.0,12,13,DT,-1,egna meningar,0
1016,tiden,NN.UTR.SIN.DEF.NOM,|tid|hela tiden:12|,|tid..nn.1|hela_tiden..abm.1:12|,|tid..1:-1.000|hela_tiden..1:12:-1.000|,|,|,0.0,13,11,OO,-1,egna meningar,0
1016,.,MAD,|,|,|,|,|,,14,10,IP,-1,egna meningar,0
1017,Hon,PN.UTR.SIN.DEF.SUB,|hon|,|hon..pn.1|,|hon..1:-1.000|,|,|,,1,2,SS,-1,egna meningar,0
1017,visste,VB.PRT.AKT,|veta|,|veta..vb.1|,|veta..1:-1.000|,|,|,-0.0,2,0,ROOT,-1,egna meningar,0
1017,verkligen,AB,|verkligen|,|verkligen..ab.1|,|verkligen..1:-1.000|,|,|,,3,2,MA,-1,egna meningar,0
1017,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,4,2,,-1,egna meningar,0
1017,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,5,7,OO,-1,egna meningar,0
1017,hon,PN.UTR.SIN.DEF.SUB,|hon|,|hon..pn.1|,|hon..1:-1.000|,|,|,,6,7,SS,-1,egna meningar,0
1017,skulle,VB.PRT.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|skulle..nn.1+le..vb.1:5.815e-12|,|skull+le|,-0.0,7,2,OO,-1,egna meningar,0
1017,ta,VB.INF.AKT,|ta|ta sig|ta sig till|ta till|,|ta..vb.1|ta_sig..vbm.1|ta_sig_till..vbm.1|ta_till..vbm.1|,|ta..2:0.428|ta..3:0.312|ta..1:0.199|ta..4:0.061|ta_sig..1:-1.000|ta_sig..2:-1.000|ta_sig_till..1:-1.000|ta_till..1:-1.000|,|,|,0.0,8,7,VG,-1,egna meningar,0
1017,sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig|ta sig:08|ta sig till:08|,|sig..pn.1|ta_sig..vbm.1:08|ta_sig_till..vbm.1:08|,|sig..1:-1.000|ta_sig..1:08:-1.000|ta_sig..2:08:-1.000|ta_sig_till..1:08:-1.000|,|,|,,9,8,IO,-1,egna meningar,0
1017,till,AB,|till|ta sig till:08|ta till:08|,|till..ab.1|ta_sig_till..vbm.1:08|ta_till..vbm.1:08|,|till..2:-1.000|ta_sig_till..1:08:-1.000|ta_till..1:08:-1.000|,|,|,,10,11,CA,-1,egna meningar,0
1017,längre,AB.KOM,|länge|längre|lång|,|länge..ab.1|längre..ab.1|lång..av.1|,|längre..1:0.457|länge..1:0.436|lång..1:0.107|,|,|,,11,8,TA,-1,egna meningar,0
1017,;,MID,|,|,|,|,|,,12,2,IS,-1,egna meningar,0
1017,hon,PN.UTR.SIN.DEF.SUB,|hon|,|hon..pn.1|,|hon..1:-1.000|,|,|,,13,14,SS,-1,egna meningar,0
1017,hade,VB.PRT.AKT,|ha|,|ha..vb.1|,|ha..3:0.604|ha..1:0.396|,|,|,-0.0,14,2,MS,-1,egna meningar,0
1017,helt,AB.POS,|hel|helt|,|hel..av.1|helt..ab.1|,|hel..1:0.599|hel..2:0.401|helt..1:0.000|,|,|,0.0,15,14,AA,-1,egna meningar,0
1017,tappat,VB.SUP.AKT,|tappa|,|tappa..vb.1|,|tappa..1:0.739|tappa..3:0.208|tappa..2:0.053|,|,|,-1.0,16,14,VG,-1,egna meningar,0
1017,hoppet,NN.NEU.SIN.DEF.NOM,|hopp|,|hopp..nn.1|,|hopp..1:0.963|hopp..2:0.037|,|hopp..nn.1+pet..nn.1:2.085e-11|hop..nn.1+pet..nn.1:3.064e-12|hopa..vb.1+pet..nn.1:1.642e-21|hoppa..vb.1+pet..nn.1:1.642e-21|,|hopp+pet|hop+pet|,1.0,17,16,OO,-1,egna meningar,0
1017,.,MAD,|,|,|,|,|,,18,2,IP,-1,egna meningar,0
1018,Han,PN.UTR.SIN.DEF.SUB,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,1,2,SS,-1,egna meningar,0
1018,stod,VB.PRT.AKT,|stå|stå ut|,|stå..vb.1|stå_ut..vbm.1|stå_ut..vbm.2|,|stå..1:0.619|stå..6:0.168|stå..2:0.077|stå..9:0.047|stå..3:0.037|stå..8:0.029|stå..5:0.011|stå..7:0.007|stå..4:0.004|stå_ut..1:-1.000|stå_ut..2:-1.000|,|,|,-0.0,2,0,ROOT,-1,egna meningar,0
1018,verkligen,AB,|verkligen|,|verkligen..ab.1|,|verkligen..1:-1.000|,|,|,,3,2,MA,-1,egna meningar,0
1018,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,4,2,,-1,egna meningar,0
1018,ut,PL,|ut|stå ut:02|,|ut..ab.1|stå_ut..vbm.1:02|stå_ut..vbm.2:02|,|ut..2:0.573|ut..1:0.427|stå_ut..1:02:-1.000|stå_ut..2:02:-1.000|,|,|,,5,2,PL,-1,egna meningar,0
1018,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,6,2,OA,-1,egna meningar,0
1018,sitt,PS.NEU.SIN.DEF,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,7,8,DT,-1,egna meningar,0
1018,arbete,NN.NEU.SIN.IND.NOM,|arbete|,|arbete..nn.1|,|arbete..1:0.714|arbete..2:0.286|,|ar..nn.1+bete..nn.2:5.704e-11|ar..nn.1+bete..nn.1:5.704e-11|,|ar+bete|,0.0,8,6,PA,-1,egna meningar,0
1018,längre,AB.KOM,|länge|längre|lång|,|länge..ab.1|längre..ab.1|lång..av.1|,|längre..1:0.606|länge..1:0.309|lång..1:0.084|,|,|,,9,2,TA,-1,egna meningar,0
1018,.,MAD,|,|,|,|,|,,10,2,IP,-1,egna meningar,0
1019,Blä,IN,|blä|,|blä..in.1|,|blä..1:-1.000|,|,|,-1.0,1,0,ROOT,-1,egna meningar,-1
1019,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,2,1,PA,-1,egna meningar,-1
1019,maten,NN.UTR.SIN.DEF.NOM,|mat|,|mat..nn.1|,|mat..1:-1.000|,|,|,0.0,3,4,SS,-1,egna meningar,-1
1019,smakade,VB.PRT.AKT,|smaka|,|smaka..vb.1|smaka..vb.2|,|smaka..2:0.899|smaka..1:0.101|,|,|,,4,2,ET,-1,egna meningar,-1
1019,äckligt,JJ.POS.NEU.SIN.IND.NOM,|äcklig|,|äcklig..av.1|,|äcklig..1:-1.000|,|,|,-1.0,5,4,SP,-1,egna meningar,-1
1019,!,MAD,|,|,|,|,|,,6,1,IU,-1,egna meningar,-1
1020,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT,-1,egna meningar,1
1020,dator,NN.UTR.SIN.IND.NOM,|dator|,|dator..nn.1|,|dator..1:-1.000|,|,|,0.0,2,3,SS,-1,egna meningar,1
1020,kraschade,VB.PRT.AKT,|krascha|,|krascha..vb.1|krascha..vb.2|,|krascha..2:0.638|krascha..1:0.362|,|,|,,3,0,ROOT,-1,egna meningar,1
1020,innan,SN,|innan|,|innan..sn.1|,|innan..1:-1.000|,|,|,,4,3,TA,-1,egna meningar,1
1020,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,4,UA,-1,egna meningar,1
1020,han,PN.UTR.SIN.DEF.SUB,|han|,|han..pn.1|,|han..1:-1.000|,|,|,,6,7,SS,-1,egna meningar,1
1020,spara,VB.INF.AKT,|spara|,|spara..vb.1|spara..vb.2|,|spara..1:0.988|spara..2:0.012|,|,|,1.0,7,5,ET,-1,egna meningar,1
1020,dokumentet,NN.NEU.SIN.DEF.NOM,|dokument|,|dokument..nn.1|,|dokument..1:-1.000|,|,|,0.0,8,7,OO,-1,egna meningar,1
1020,.,MAD,|,|,|,|,|,,9,3,IP,-1,egna meningar,1
1021,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar,1
1021,missade,VB.PRT.AKT,|missa|,|missa..vb.1|,|missa..1:-1.000|,|miss..nn.1+säga..vb.1:7.056e-12|misse..nn.1+säga..vb.1:7.056e-12|miss..nn.2+säga..vb.1:7.056e-12|missa..vb.1+säga..vb.1:3.376e-21|,|miss+sade|,-1.0,2,0,ROOT,-1,egna meningar,1
1021,bussen,NN.UTR.SIN.DEF.NOM,|buss|,|buss..nn.1|,|buss..1:0.956|buss..3:0.026|buss..2:0.018|,|buss..nn.1+s..nn.1:8.535e-19|bus..nn.1+s..nn.1:2.049e-19|buse..nn.1+s..nn.1:2.049e-19|buss..av.1+s..nn.1:2.855e-28|bussa..vb.1+s..nn.1:1.087e-28|busa..vb.1+s..nn.1:1.087e-28|,|buss+sen|bus+sen|,0.0,3,2,OO,-1,egna meningar,1
1021,så,AB,|så|,|så..ab.1|,|så..1:-1.000|,|,|,,4,5,AA,-1,egna meningar,1
1021,nu,AB,|nu|,|nu..ab.1|,|nu..1:-1.000|,|,|,,5,2,TA,-1,egna meningar,1
1021,kommer,VB.PRS.AKT,|komma|,|komma..vb.1|,|komma..3:0.703|komma..1:0.297|,|,|,1.0,6,2,VG,-1,egna meningar,1
1021,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,7,10,SS,-1,egna meningar,1
1021,definitivt,AB.POS,|definitiv|,|definitiv..av.1|,|definitiv..1:-1.000|,|,|,0.0,8,10,AA,-1,egna meningar,1
1021,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,9,10,SS,-1,egna meningar,1
1021,komma,VB.INF.AKT,|komma|,|komma..vb.1|,|komma..3:0.603|komma..1:0.397|,|,|,1.0,10,6,OO,-1,egna meningar,1
1021,sent,AB.POS,|sen|,|sen..av.1|,|sen..1:-1.000|,|,|,0.0,11,12,PA,-1,egna meningar,1
1021,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,12,10,RA,-1,egna meningar,1
1021,jobbet,NN.NEU.SIN.DEF.NOM,|jobb|,|jobb..nn.1|,|jobb..1:0.947|jobb..2:0.053|,|jobb..nn.1+bet..nn.1:9.515e-18|,|jobb+bet|,0.0,13,12,PA,-1,egna meningar,1
1021,.,MAD,|,|,|,|,|,,14,2,IP,-1,egna meningar,1
1022,Maten,NN.UTR.SIN.DEF.NOM,|mat|,|mat..nn.1|,|mat..1:-1.000|,|,|,0.0,1,6,SS,-1,egna meningar,-1
1022,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,2,1,ET,-1,egna meningar,-1
1022,den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,3,5,DT,-1,egna meningar,-1
1022,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,4,5,AT,-1,egna meningar,-1
1022,resturangen,NN.UTR.SIN.DEF.NOM,|resturangen|resturang|,|,|,|rest..nn.1+uran..nn.1+gen..nn.1:2.663e-19|resa..vb.2+tu..nl.1+rang..nn.1:5.038e-25|resa..vb.1+tu..nl.1+rang..nn.1:5.038e-25|resa..vb.2+tur..nn.2+an..ab.1+gen..nn.1:7.834e-24|resa..vb.2+tur..nn.1+an..ab.1+gen..nn.1:7.834e-24|resa..vb.1+tur..nn.1+an..ab.1+gen..nn.1:7.834e-24|resa..vb.1+tur..nn.2+an..ab.1+gen..nn.1:7.834e-24|resa..vb.2+tu..nl.1+rana..nn.1+gen..nn.1:8.002e-30|resa..vb.1+tu..nl.1+rana..nn.1+gen..nn.1:8.002e-30|,|rest+uran+gen|res+tu+rangen|res+tur+an+gen|res+tu+ran+gen|,,5,2,PA,-1,egna meningar,-1
1022,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,6,0,ROOT,-1,egna meningar,-1
1022,smaklös,JJ.POS.UTR.SIN.IND.NOM,|smaklös|,|smaklös..av.1|,|smaklös..1:-1.000|,|,|,-1.0,7,8,CJ,-1,egna meningar,-1
1022,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,8,6,SP,-1,egna meningar,-1
1022,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,9,10,,-1,egna meningar,-1
1022,god,JJ.POS.UTR.SIN.IND.NOM,|god|,|god..av.1|,|god..1:0.366|god..2:0.345|god..3:0.289|,|,|,-1.0,10,8,CJ,-1,egna meningar,-1
1022,.,MAD,|,|,|,|,|,,11,6,IP,-1,egna meningar,-1
1023,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,-1,egna meningar,0
1023,kuggade,VB.PRT.AKT,|kugga|,|kugga..vb.1|,|kugga..1:-1.000|,|,|,,2,0,ROOT,-1,egna meningar,0
1023,uppkörningen,NN.UTR.SIN.DEF.NOM,|uppkörning|,|uppkörning..nn.1|,|uppkörning..1:0.996|uppkörning..2:0.004|,|upp..ab.1+körning..nn.1:8.372e-11|,|upp+körningen|,,3,6,DT,-1,egna meningar,0
1023,ännu,AB,|ännu|,|ännu..ab.1|,|ännu..1:0.965|ännu..2:0.035|,|,|,,4,6,CA,-1,egna meningar,0
1023,en,DT.UTR.SIN.IND,|en|en gång|,|en..al.1|en_gång..abm.1|,|engång..1:1.000|den..1:0.000|en..2:0.000|,|,|,,5,6,DT,-1,egna meningar,0
1023,gång,NN.UTR.SIN.IND.NOM,|gång|en gång:5|,|gång..nn.2|gång..nn.1|gång..nn.3|en_gång..abm.1:5|,|gång..3:0.532|gång..1:0.258|gång..4:0.180|gång..2:0.030|engång..1:5:0.000|,|,|,0.0,6,2,OO,-1,egna meningar,0
1023,.,MAD,|,|,|,|,|,,7,2,IP,-1,egna meningar,0
1024,Regnet,NN.NEU.SIN.DEF.NOM,|regn|,|regn..nn.1|,|regn..1:0.832|regn..2:0.168|,|,|,,1,2,SS,-1,egna meningar,-1
1024,förstörde,VB.PRT.AKT,|förstöra|,|förstöra..vb.1|,|förstöra..1:-1.000|,|föra..vb.1+störa..vb.1:1.487e-14|för..nn.1+störa..vb.1:1.847e-17|,|för+störde|,-1.0,2,0,ROOT,-1,egna meningar,-1
1024,våra,PS.UTR+NEU.PLU.DEF,|vi|,|vi..pn.1|,|vi..1:-1.000|,|,|,,3,4,DT,-1,egna meningar,-1
1024,helgplaner,NN.UTR.PLU.IND.NOM,|helgplan|,|,|,|helg..nn.1+plan..nn.3:8.825e-10|helg..nn.1+plan..nn.1:8.825e-10|helga..vb.1+plan..nn.1:3.887e-20|helga..vb.1+plan..nn.3:3.887e-20|,|helg+planer|,,4,2,OO,-1,egna meningar,-1
1024,.,MAD,|,|,|,|,|,,5,2,IP,-1,egna meningar,-1
1025,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,1,egna meningar,1
1025,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.764|få..3:0.236|,|,|,1.0,2,0,ROOT,1,egna meningar,1
1025,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,3,4,DT,1,egna meningar,1
1025,befodran,NN.UTR.SIN.IND.NOM,|,|,|,|,|,,4,2,OO,1,egna meningar,1
1025,igår,AB,|igår|,|igår..ab.1|,|i_går..1:-1.000|,|,|,,5,6,PA,1,egna meningar,1
1025,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,6,2,AA,1,egna meningar,1
